model,id,one_hop_a,one_hop_b,two_hop_cot,two_hop_no_cot,two_hop_no_cot_baseline1,two_hop_no_cot_baseline2,two_hop_with_facts_in_context,both_1hops_correct,two_hop_also_correct,two_hop_also_correct_corrected
claude-3-5-haiku-20241022,909,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,969,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,1046,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,1,0
claude-3-5-haiku-20241022,1052,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,1,0
claude-3-5-haiku-20241022,1114,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,1168,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,1229,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,1377,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,1424,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,1453,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,1,0
claude-3-5-haiku-20241022,1552,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,1558,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,1619,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,1641,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,1676,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,1699,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,1704,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,1783,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-5-haiku-20241022,1838,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,0,0
claude-3-5-haiku-20241022,1910,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,1915,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,0,0
claude-3-5-haiku-20241022,1935,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,2004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,2112,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,2179,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,2204,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,1,0
claude-3-5-haiku-20241022,2295,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,2423,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,2425,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-5-haiku-20241022,2428,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,2636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,2685,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0
claude-3-5-haiku-20241022,2690,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0
claude-3-5-haiku-20241022,2745,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0,0,0
claude-3-5-haiku-20241022,2759,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,1,0
claude-3-5-haiku-20241022,2796,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,2889,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,2893,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-5-haiku-20241022,2995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,3007,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,3063,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,3249,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0
claude-3-5-haiku-20241022,3321,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-5-haiku-20241022,3490,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-5-haiku-20241022,3501,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-5-haiku-20241022,3550,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,3570,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-5-haiku-20241022,3581,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-5-haiku-20241022,3608,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,3725,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0,0
claude-3-5-haiku-20241022,3828,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,3871,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,3906,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,3936,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,3982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,4015,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,4035,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,4052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,4055,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,4056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,4112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,4124,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,4217,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,4253,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,4287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,4434,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,4462,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,4478,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,4548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,4563,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,4573,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-5-haiku-20241022,4645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,4698,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,4755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,4774,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,4799,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,4826,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,4844,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,4861,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,4872,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,4891,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,4931,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,4946,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,4963,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,0
claude-3-5-haiku-20241022,5180,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-5-haiku-20241022,5230,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,5283,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,5436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,5494,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,5502,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,5505,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,5589,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,5736,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0
claude-3-5-haiku-20241022,5755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,5810,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,5860,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,5963,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,6131,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,6135,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,6174,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,6220,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,6284,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,6327,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,6334,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,6357,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,6382,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0
claude-3-5-haiku-20241022,6499,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,6598,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,6613,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,6697,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,6827,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,6849,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,6931,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,6946,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,7006,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,7107,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1,1,0
claude-3-5-haiku-20241022,7223,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-5-haiku-20241022,7275,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0
claude-3-5-haiku-20241022,7312,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,7449,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,7509,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,7520,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,7532,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,7569,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,7607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,7620,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,7632,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,7699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,7709,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,7777,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-5-haiku-20241022,7874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,7887,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,0
claude-3-5-haiku-20241022,7980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,8015,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,8239,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,8266,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,8340,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,8425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,8452,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,8751,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,1,0
claude-3-5-haiku-20241022,8949,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,8968,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,8987,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,8998,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,9022,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0
claude-3-5-haiku-20241022,9023,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0
claude-3-5-haiku-20241022,9216,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1,0
claude-3-5-haiku-20241022,9336,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,9462,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,9489,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,9503,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,9523,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,9524,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,9534,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,0
claude-3-5-haiku-20241022,9558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,9596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,9635,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,9657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,9669,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1,0
claude-3-5-haiku-20241022,9718,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-5-haiku-20241022,9781,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,10004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,10009,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0
claude-3-5-haiku-20241022,10036,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1,0
claude-3-5-haiku-20241022,10058,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-5-haiku-20241022,10075,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,10200,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,10233,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,10299,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,10309,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,0
claude-3-5-haiku-20241022,10449,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0
claude-3-5-haiku-20241022,10454,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0,0
claude-3-5-haiku-20241022,10507,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1,0,0
claude-3-5-haiku-20241022,10656,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0
claude-3-5-haiku-20241022,10660,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1,1,0
claude-3-5-haiku-20241022,10690,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-5-haiku-20241022,10751,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,10788,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-5-haiku-20241022,10858,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1,0,0
claude-3-5-haiku-20241022,10890,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-5-haiku-20241022,11078,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,11131,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,11243,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,11270,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,11280,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,11364,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-5-haiku-20241022,11372,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,11381,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,11472,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,11578,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,11681,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,11696,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-5-haiku-20241022,11702,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,11724,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,11795,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,11820,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,11834,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,11898,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,11916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,11930,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,12032,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,12082,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,12124,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,12126,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,12201,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,12533,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0,0,0
claude-3-5-haiku-20241022,12552,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,0
claude-3-5-haiku-20241022,12598,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,12629,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1,1,0
claude-3-5-haiku-20241022,12685,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,12720,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-5-haiku-20241022,12753,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1,0
claude-3-5-haiku-20241022,12795,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,12875,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,12945,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-5-haiku-20241022,13015,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,13016,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,13081,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,13135,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,13177,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-5-haiku-20241022,13190,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,13198,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,1,0
claude-3-5-haiku-20241022,13201,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,1,0
claude-3-5-haiku-20241022,13309,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1,0,0
claude-3-5-haiku-20241022,13331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,13339,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-5-haiku-20241022,13368,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,13379,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-5-haiku-20241022,13388,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-5-haiku-20241022,13487,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-5-haiku-20241022,13505,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-5-haiku-20241022,13532,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0
claude-3-5-haiku-20241022,13615,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,13621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,13627,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,13667,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,13880,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1
claude-3-5-haiku-20241022,14035,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,14043,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,14216,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
claude-3-5-haiku-20241022,14236,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-5-haiku-20241022,14264,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,14278,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-5-haiku-20241022,14331,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,0,0
claude-3-5-haiku-20241022,14335,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-5-haiku-20241022,14371,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0,0
claude-3-5-haiku-20241022,14393,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,14425,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
